transaction_id,player_id,transaction_date,transaction_type,amount,payment_method
05694d74-f7db-45d7-985a-f46826d1bd92,ebb5fc71-c287-41fb-90e0-f57e2f29338e,2024-09-01,Withdrawal,3789.56,Credit Card
6f9d0273-36eb-4d69-948b-cafb4d80d0f4,046a2a17-013d-43f5-b562-35557c7b91e2,2023-10-19,Withdrawal,555.87,Credit Card
b2cd8334-ee6f-4808-9fe7-50e48a702796,baf38d89-f824-4d4e-bb37-7c74d6918e54,2023-05-26,Withdrawal,4815.85,Credit Card
a99b1956-f0ca-40db-9ef1-e1c4648883e8,82409cd5-85ef-40bd-8641-3d74d6d292a6,2023-03-06,Deposit,4563.99,Credit Card
b2dd73fe-f424-4a67-a92b-2ff57a49e7e8,c5447141-e17a-4539-ba00-b2c708a11f7a,2024-03-02,Deposit,3699.47,PayPal
52c61637-0e40-433f-b568-2942daa7ba4a,2fca9e51-9d3c-4f00-8e07-4722f4c2a9aa,2024-04-22,Deposit,2990.28,PayPal
a6eabcf0-9e55-4291-b8ae-892052bc64e8,f9ceb5a8-5085-4352-a898-1e82d80c0f25,2024-10-31,Deposit,4899.79,Crypto
d5c8e3ec-378e-4839-8b10-23e923c58745,ce4d1518-e3b0-41fe-b6aa-3936003ebdc7,2023-09-24,Deposit,3843.59,Credit Card
275c45b6-650b-413b-a543-dd2cdf677223,6933b95a-8ccf-4696-af3b-c970bd6ded81,2024-01-24,Deposit,2516.31,Credit Card
81e0cc19-8670-47e3-a36e-4ec5c6710a23,01bda603-98de-4565-9ecc-0111cf3e9d08,2024-02-28,Deposit,1218.65,Credit Card
85de071d-efff-4941-b96d-59cf85c1b3bc,7339cf02-772e-4f4e-bdf2-730826fc909c,2023-02-27,Deposit,4611.04,PayPal
4f63f833-7342-44cf-a907-0931bbb20b47,9fe7ec30-7118-4a7d-940d-34f897ea37da,2024-10-31,Deposit,3123.68,PayPal
7d5aa15f-5cba-4980-8377-ceb92516dfcf,cd7ef9ef-c8bf-46ff-b21d-b912498eeef0,2025-01-23,Withdrawal,201.1,Bank Transfer
72c7dc49-a644-4c23-9c8e-7ead635d08ab,2579e1cb-c6d4-4a0d-85dc-fe1efe655fde,2024-10-05,Deposit,2730.24,Credit Card
ca998582-bddf-4053-a305-4eda26e21d28,6933b95a-8ccf-4696-af3b-c970bd6ded81,2024-07-03,Withdrawal,651.2,Crypto
8885161a-1923-4a19-9160-2edb7cd13c4d,aa433f97-5841-4950-b323-05138835f72d,2024-01-08,Withdrawal,3757.49,Credit Card
d71fad95-8291-4ad1-8525-50b912d81e23,f130c484-6509-4079-98b6-5838d29b7b8d,2024-02-23,Withdrawal,1456.63,Bank Transfer
aa58e6a6-74d6-486f-b667-52ef05a3f451,dcf6e913-bb37-4563-bba4-9642f9aa3cb5,2024-03-18,Withdrawal,2940.64,Credit Card
c4557183-aef5-4ab9-b9ab-718fa09c666f,398d5e98-5694-4f68-bf22-b323be4e6706,2023-08-23,Withdrawal,1154.58,Crypto
6d37b052-9063-47d1-afc4-3f98b57f7614,34d3fcd2-4bef-4e2d-8af5-e8e940e44cd2,2023-03-11,Withdrawal,4311.87,Bank Transfer
5a88a1d1-518b-43ed-b961-6a6285744d28,eb5a4c9e-2deb-43a4-bd78-bdd247182a48,2024-03-01,Withdrawal,4144.75,Bank Transfer
94db5dd7-1563-441d-b92b-7952a947ed9a,42909c31-795b-41e8-99a1-44ca337427d8,2024-10-10,Deposit,3033.36,Crypto
594c6c56-343d-4a50-8bea-6c7aaf2fc4a1,7fdaa50a-80f0-41ca-9178-20eaffa5d260,2023-10-03,Withdrawal,382.8,Credit Card
f3182c43-d55e-4e64-9992-c33575e7a2b9,dd06a3a2-2541-4205-a563-b629ba3895db,2023-05-02,Withdrawal,3918.64,Crypto
577fbc1c-ebd9-454f-9f5b-9dfb9b7f223f,05ffacac-622e-490c-8cbe-6bf4abb82ba7,2024-01-18,Deposit,211.21,PayPal
95aca5e3-c26c-40f3-9766-d58df73395a3,957b40ba-206e-405c-8d00-9f4dfde2a34f,2023-11-02,Deposit,4274.68,Crypto
bb549034-0ea3-40cd-85a6-259533a2e817,ffb27bd0-6e45-42f0-af4b-6f5a6c824faf,2024-06-08,Withdrawal,4332.31,PayPal
1ddcb43f-4ab3-4127-bae4-c019274c1065,b0c81e8b-3354-4359-8563-2917f6601b55,2024-07-03,Deposit,97.18,PayPal
14427a4f-70c0-46da-aefe-48351f62406e,3b681f7d-b278-470a-8adf-71d7200a18b2,2023-03-12,Withdrawal,860.75,Crypto
23e6f862-d2de-4ed8-8428-b26197d87fb7,1cfe2bc7-34cf-4a93-9b4f-d2363c973cbc,2023-12-06,Deposit,4296.78,PayPal
ac2f4e0f-145b-4653-83e5-e91154c22cc7,0c471b15-bee7-4e3a-bfb6-1adeed861027,2023-09-18,Deposit,4538.42,Credit Card
e8bde27a-204f-4c3d-8405-f62155861f37,0a0ab624-0e75-4396-bde1-ba34fdc75b8f,2024-09-03,Withdrawal,112.26,Crypto
273972bd-b366-4b52-9071-278ec4e0bde6,2f4ef62b-df3f-4776-8715-3132ddad3dfd,2023-03-25,Withdrawal,1487.24,Bank Transfer
bfbd5846-a735-4499-b634-2e7006df4122,c5a5ddac-c6b6-4fc2-95b6-a27f926e0853,2023-03-01,Withdrawal,2441.27,Crypto
6a7c0fc9-47fb-4250-9a79-0d52547e4865,d9497fdc-a3dd-44f6-9542-784e2e13791d,2024-09-12,Deposit,4669.05,Bank Transfer
6de398c8-a5b9-4e90-9608-a223fcd5b701,4973858e-30d8-4864-817d-b0001bf9a518,2023-07-14,Deposit,3610.63,PayPal
2bb9c022-feec-4840-920f-f312f4fe7aa6,84e6efd9-0c63-4146-9f74-bbe901d56804,2023-02-19,Deposit,3815.98,Credit Card
63c116b0-b21c-480e-8274-44ae38393d02,f7c623be-76ec-496b-8990-9ca2681ba624,2023-08-13,Deposit,1118.26,Credit Card
f6903aa7-46a5-4949-8213-e096b4781f55,d93d917a-f656-4173-b5a7-e717dca73285,2023-06-26,Deposit,21.98,Crypto
6a2cf092-5e0a-411a-9f5a-78313da6c143,7ef3d65b-853b-4d38-86f6-c13aeb739afc,2023-12-09,Withdrawal,3996.17,Bank Transfer
a81f1582-88eb-49bd-8038-8cd33558ea1a,16843a23-6b45-4863-9d89-8aac41ded382,2024-09-23,Deposit,3205.91,Crypto
dffbf3b7-21a8-44e6-b5d1-d6d2d6e88ec7,07c08aef-08f8-4a82-a41a-4a5096ec330a,2024-04-19,Withdrawal,3987.36,PayPal
62679002-bb78-4178-a5e2-9d1185209130,6c26697e-ce8f-4e2a-81c3-30b07b70fc3d,2023-04-21,Deposit,3578.0,Credit Card
35d3d93a-086f-483d-895a-619cdd3d8ab5,26ca63b1-da3e-4ad9-9aeb-386e06d25e2b,2024-08-17,Deposit,261.06,PayPal
a4f88cd9-4dd6-4362-84ed-63ae49d91341,19124603-4b66-4fc1-a507-f80018a66cb8,2024-08-29,Withdrawal,3448.19,PayPal
1a3204fe-0e47-49f5-bb3f-ace501a02840,56cab970-d5d0-41e1-a00f-2848a488c5d9,2024-06-20,Withdrawal,3626.43,Bank Transfer
c5c5fc36-ee9d-4cf0-9f35-ffea79103e08,a53827ab-b412-48b7-90fe-7009a2adf525,2024-04-26,Deposit,3062.33,Bank Transfer
e72d7a39-9ee4-4f91-960d-0efce95a26a6,709e1f98-1cc3-48c4-90ec-5d1a31546854,2024-06-10,Deposit,3817.36,Bank Transfer
a77094c1-63b2-4595-a839-2142d54bb555,1b4d1216-75a3-422d-a603-4311d659f971,2024-11-25,Withdrawal,4270.3,PayPal
b2e9575a-4be4-4b0c-848f-09ca142d499c,da79a3e9-1dba-4967-9809-f44648076d6a,2024-05-19,Deposit,3186.69,Credit Card
12d3924c-3c37-4406-9dd5-17b9c291c96a,2fae75f8-bcaa-484d-84f0-32a6b4ce4b03,2024-06-06,Withdrawal,4942.62,PayPal
0ce7a448-720c-4c8e-8edd-c278b389945b,b1891cd2-8586-4a34-9c66-1c188391ca4e,2023-10-13,Deposit,2885.65,Crypto
a254504e-4b21-46a2-abc2-64811e631843,7b1cdb12-4fe1-45f0-a225-85a4ebaf5a38,2024-02-04,Withdrawal,1270.45,PayPal
e8f1bee9-9509-469b-88ce-206d83c56b8c,0ead9bd9-158d-45ba-93b9-a635a35aa134,2024-09-01,Deposit,4697.06,Crypto
270da070-8f6a-45ee-8cda-3884301964b0,217728d4-9b9b-426e-9656-c19965018bc8,2024-11-22,Withdrawal,153.77,Credit Card
6e11ce48-4f04-4fff-af3a-bde1c972f933,dcd447d0-865c-4bc4-9d46-b87c9486841b,2024-05-25,Deposit,4169.39,Bank Transfer
420c2255-95a9-4fef-8f5a-160ee773a9a7,aa2beabb-4322-49a5-bbe3-2e912f9c2c32,2024-01-29,Withdrawal,757.81,Bank Transfer
2b6492ce-162b-40d4-bd9d-5d42f2bc6606,dcf6e913-bb37-4563-bba4-9642f9aa3cb5,2024-07-11,Deposit,3402.1,Crypto
9c47eee4-585b-4988-b613-1da429d1651b,b9973411-76f4-4066-a14c-97c373ac3711,2024-09-24,Deposit,1356.57,Bank Transfer
66b33c59-1e36-4ea5-8f74-53413ab9706a,424d8200-3df3-4cce-8440-df927807d3d9,2024-07-12,Withdrawal,562.24,Bank Transfer
bea25747-fdc6-4d0f-a09c-ef905b5bcaaf,74166861-2ddf-444b-bb37-5ecad95abd75,2023-05-18,Withdrawal,1976.76,Crypto
70a48b0b-a3d9-4f4f-83c7-a7caa61ebfd7,372ae191-d49f-48bd-9536-b3728c45ab61,2024-12-12,Deposit,4107.01,Bank Transfer
bb32a112-ab2c-4d5b-81cd-cc7a7772faf3,e8bb83b1-2d9b-4e68-acec-246304c7471a,2024-07-04,Deposit,2760.08,Bank Transfer
13d3ac2b-2a84-421d-af20-ad14b20089f5,185f3d56-6aa6-4b31-9f7c-95854beeaae6,2024-08-29,Deposit,1176.51,Bank Transfer
e30c9db1-fd90-4173-9c30-247035341849,cd7ef9ef-c8bf-46ff-b21d-b912498eeef0,2023-04-13,Withdrawal,2211.87,Credit Card
7bab2788-d11b-495a-b2cb-bf08993456ab,88be441f-0ae1-4846-82c8-a4d6538982fb,2024-06-26,Deposit,1695.92,Bank Transfer
4664c4a5-12bf-44cb-b542-5fb21aac5bc7,54feee09-4c12-4407-b6a4-4af4c0f602a2,2024-03-01,Deposit,3621.21,Bank Transfer
a297808b-d7f5-4c25-b12a-406ec6a9a527,9831cbbb-88ac-4477-a4fa-6e165633f7ca,2023-05-15,Deposit,307.67,Credit Card
7dd914b2-b04f-456b-b1c7-e30cf305d306,7c9583b4-a6d5-4883-887d-202cf8bbb147,2023-05-29,Withdrawal,4746.8,Credit Card
e3e0ee53-807c-4eda-92fc-20a132a6390a,74817cba-fc5e-4da7-8615-7f172d4af92f,2024-01-31,Deposit,3005.37,PayPal
908a0999-3413-4bee-a6ac-b3c590605d0d,31417517-195c-40cb-9253-83c26ee554a0,2023-04-12,Deposit,1542.43,Credit Card
556f9987-98b2-4dc6-aa36-4725e6162b15,75f41355-ee27-4607-b331-63fd27bc8b2c,2024-02-17,Deposit,4613.69,Crypto
888b01e8-42c1-4bd3-b0e0-173397c61802,8b214915-5d9a-42eb-94ad-266d9362090c,2024-04-22,Withdrawal,1465.24,Crypto
6084a337-3a40-45a3-bb01-38c8ea8ab799,2aa82550-014a-4b73-a8f8-1a62f1e755d1,2023-03-06,Deposit,4586.2,Crypto
cf7b782e-76db-401c-9f3c-d3ecf9bb7654,34d3fcd2-4bef-4e2d-8af5-e8e940e44cd2,2024-12-28,Withdrawal,2609.29,Credit Card
18c8af42-5ed1-4da1-a071-850af4aae76d,1607b6f9-8206-49c7-a6b5-775804911ea4,2024-01-29,Deposit,1942.11,PayPal
b7867d99-8ab7-4875-b7ce-0e3a93c803f7,924534e7-6356-4714-9fc0-3ec12a709f71,2024-01-27,Withdrawal,3794.9,Bank Transfer
6369c151-8636-4162-899e-4a6d932a7c30,2c3a188d-135d-441c-ac63-c0aa51c77113,2024-08-25,Deposit,3700.89,Credit Card
85cc6769-3dc9-45f0-a0bc-f78a337665f4,e746907b-9b57-4c15-a950-ef7b9b742ab0,2024-11-19,Deposit,427.55,Bank Transfer
a83e5da4-002a-427b-985c-97b50474d1fb,ccf15e10-3ea4-4542-85e5-7e16c5e3a4f3,2023-12-17,Deposit,869.92,Credit Card
c820f3d3-b61c-4795-9562-40a3ba37b4b5,a9bb2448-f328-4c29-85b2-1b5dc16e4aca,2024-10-20,Deposit,590.74,Bank Transfer
23b43953-fe43-48c1-8bf8-5cd04e65dd4c,1cc99c18-548f-4686-9d18-4469609fbbb2,2024-04-27,Deposit,2014.29,Crypto
aab1c127-e2b8-4a89-897e-f3d8071993ae,998f62cb-bfd2-4b3a-8065-149c14e26f15,2024-02-29,Withdrawal,2040.55,Bank Transfer
864cb2b4-8a1f-43a0-beeb-1e9766990085,7d5ee501-495a-4ff0-86ac-47b0b95f6a00,2024-03-23,Deposit,2446.77,Credit Card
9370c3be-d400-4fa0-8651-1d9a8056ef65,0f4872d7-18a9-41e4-be27-5fba8f8cfdca,2023-05-10,Withdrawal,203.0,PayPal
166aed1a-55c2-4bf3-bcbd-84a4e887f670,12eab93f-a2db-4d63-b0a3-d7b158788010,2023-04-16,Deposit,4639.48,PayPal
3e4aa7b4-fac7-4c8b-a11a-ccda8263d88e,96035ae5-704e-4089-9321-710929562380,2023-05-04,Deposit,4185.55,PayPal
2191c141-b76a-41b6-b705-cf43188af582,d426fcb9-bc34-4518-bdb9-28211724c626,2023-08-07,Withdrawal,2367.49,Credit Card
5ae4df11-199c-4f35-add5-67e939f8d6a9,2eb47777-561b-4b65-b1fa-4d06150670dc,2023-12-11,Deposit,2662.07,Crypto
be6cfb6a-ea7c-45a4-8a85-347748ed565e,0cc4332f-7fb1-47a6-b78d-8611b72f09dc,2023-03-23,Withdrawal,4423.88,Bank Transfer
5dd806cd-a57d-4b30-83f1-e2a2991a6eb3,e026421f-5018-499f-9fbb-c7a41ec7cedd,2024-11-25,Withdrawal,4496.54,Bank Transfer
59c21913-876c-47c3-9847-f8bd587efd88,c1e7081b-0565-43ae-8d78-843e9bde1926,2023-10-09,Withdrawal,1213.36,PayPal
7557cca5-70ea-4f76-8cc8-9dab4e64fbf3,58cff336-d9c2-459b-83e1-d101bb0ef45f,2023-05-16,Deposit,1405.74,PayPal
cdecf14b-21f2-4b7f-8ef7-ac5e329b15a6,573718b5-6529-4c2b-9fbe-dbd2ba89459d,2024-11-04,Withdrawal,3093.36,Credit Card
306bea5c-ae7c-438d-9e72-77aa74724311,aba0f03e-6544-4534-b749-2f52c93870b2,2024-01-02,Deposit,1602.62,Credit Card
97c09653-1d59-49cd-bfd3-3e6a5f57ba4f,9573432b-71d6-4aa9-a03a-906c5a961449,2023-05-13,Deposit,4413.77,PayPal
d47454c9-6809-4c8e-9bcd-3f6348fcdaf1,fa23c1e0-9563-4adb-a536-72a01b5460be,2023-04-16,Deposit,3492.77,Credit Card
399e09fa-bf20-4747-982f-15d873251a63,d70369b1-50f0-4cb8-8332-4ba0dcd63079,2024-12-08,Withdrawal,1677.25,PayPal
4501ee39-c2cf-41f1-87f7-a837ff451539,8dc02c8f-d4e9-4932-b72b-71ba692a809b,2024-07-08,Withdrawal,2896.76,Crypto
2ccc1e28-df59-4bcb-a76d-42cdc3819d69,33a744d9-1df2-4ee0-8bb2-7fb27d514c47,2024-12-13,Deposit,1429.42,Crypto
64dc0197-4559-430d-8e27-bd035a9b9a62,eb2e004b-0ed9-428b-816b-0f71943636c1,2024-01-06,Withdrawal,3844.05,Crypto
f2dfb2c9-acea-4f0f-9a91-c74b1204fd07,e509d49c-af2e-45b8-a03c-7eb05b1b63bd,2023-12-08,Deposit,2881.65,PayPal
84c2b220-f59d-4f9c-a0c3-f96c68c6d38d,5c13f4a0-a314-47cc-ad8e-fc17c38edbbf,2024-10-05,Deposit,1085.28,PayPal
c7e2dc5f-a3f0-466a-b51b-0c8090ce2c7f,34ed009a-7c91-472e-b838-efbfa1a90cdc,2023-10-21,Deposit,3800.3,Bank Transfer
33a25a2c-8370-4a45-8c1e-cafbd254e69d,cf6a3b18-4652-464f-afa3-1eacd04fa369,2023-06-30,Deposit,2898.83,Crypto
21a9bf2d-2ea2-4c7e-8ca5-fe7bf7afed58,238f145e-0d98-4146-be4b-d449e914b0d8,2023-09-18,Deposit,3993.86,PayPal
88d17c14-a53c-4704-a79c-3c946490ea86,1df3fdb0-7188-49d3-889a-dab86baf608a,2025-02-06,Deposit,3024.78,Bank Transfer
41ce5436-7364-4da3-a0fd-2cad12b9842d,c4ca4459-ad50-47a9-b198-8ee36d088c34,2024-02-20,Deposit,3582.45,Bank Transfer
5cd2d401-40c1-45cc-a22b-a53d5460816d,0a0ab624-0e75-4396-bde1-ba34fdc75b8f,2024-12-09,Deposit,2608.17,PayPal
5c02f3b8-87ba-4763-b9f7-8aeaa2837ec9,31cb31c9-aecf-4461-9090-1238ee0b4fa7,2023-09-22,Deposit,1288.21,Bank Transfer
d6d3e3e1-a7fc-4a9e-92da-8722369fb46c,53265f23-efca-4165-bcb5-718f311f3b20,2023-11-30,Withdrawal,2354.89,PayPal
2e46f8eb-dd71-41e7-87f8-8a8b64cede65,d35323eb-3fab-48d0-b7ed-ae93fe63220e,2024-10-02,Deposit,4501.92,PayPal
317f207e-275e-4f03-83b1-07191049eef5,81d333d4-a4fb-4dd1-ac99-2ac4e1f59d20,2024-05-14,Deposit,4555.15,Crypto
