activity_id,player_id,session_date,bets_placed,session_duration_min,net_profit
7a827a69-a3ae-44e4-b4ff-64ccc893aa32,388e27be-8035-4bbc-97bc-f23747189828,2024-01-26,13,113,-405.24
f3c6999b-3371-452e-a905-eebd975f4a69,31417517-195c-40cb-9253-83c26ee554a0,2024-07-14,20,172,239.63
6c372c37-8488-4719-811d-025e3130be3e,0ead9bd9-158d-45ba-93b9-a635a35aa134,2024-01-22,46,43,-440.37
bbde6d9a-8edf-4bcf-8ef4-524cdcc31598,760b69ac-8f1b-4206-847a-842941353c46,2023-09-27,23,13,-222.31
eab571bd-b9d1-4af0-b9d9-d2905c11dbdc,95d596a0-8c5a-49e9-8445-c59d5516ed0a,2023-07-30,16,174,-404.57
c7f6e867-a7b0-4a96-b979-84f71e9d22cc,ce52718b-94c7-40e6-b605-d878d6514261,2023-08-26,17,125,30.77
3f54c2e4-7819-4bab-a2db-117a5ad0f8f3,ce86d435-074c-44f6-a393-9ebf62b78c59,2023-10-07,33,207,145.23
6e2347c5-db70-416a-be20-7c5504756bd8,3b224276-9201-4fd9-b775-582fa7fdf2bb,2023-02-20,11,104,390.86
7a01ab2f-558f-40b2-953f-247ec7109263,bf69758c-a7ac-4a71-98d1-9ae3b38bc305,2024-09-20,15,130,233.87
f276510a-edca-4157-b047-5fa745777eed,e554b532-b640-4535-bd36-97cc7982699b,2023-06-23,3,40,461.1
48552bc9-500c-4244-89da-30273fb1cada,98d67568-37bf-457e-9581-969032d15a11,2024-02-01,24,23,260.95
04f6f7f2-3006-40be-9e41-bf6a157666b0,e20de99e-e56a-4fbd-bc1e-bc4ad415d081,2024-02-14,33,252,-201.93
8f79b2b5-22e1-4640-b041-328de19c4603,3861406b-8305-4fb1-abf8-74df30425818,2024-01-16,27,290,47.58
621df723-4b5a-4f53-81f3-6c8c65d6122b,71852a90-0951-466d-80b5-6ee0840f51cf,2024-01-23,45,202,-42.06
fd4878fb-a6f4-4e99-9e12-11a5ddb5fe0f,3aac102b-ead0-499e-b62f-74f544cdd57f,2024-08-04,10,155,65.97
591e2f3c-4024-4441-b2ec-18e1a41f5fa1,be3f1c35-6a73-45d9-9849-18c6ec51247f,2023-12-27,12,55,72.09
8e94a8e1-dc66-4f0c-bd6c-cafd7e4e913d,680db26c-64c3-4f01-aa05-fd755faff494,2024-11-20,30,106,202.1
41af020f-e3e4-4916-9af9-dad0b2b1a1c3,12197c52-742b-4ce9-8fb7-5f6639e39b6b,2023-04-20,24,260,-416.96
d8e0641b-314a-4758-85d4-4dca67aec288,f9c964fd-a778-4475-b191-4e537fa0078e,2024-08-30,38,200,246.75
240a39e9-a406-4c31-87fc-92bd4a377dde,06a5a971-5b4d-472c-8040-44d9955b14f5,2023-08-05,9,217,-356.26
9f99ddff-0732-48f2-801a-8714e58c357e,cb66b30d-4f0c-4388-bfdd-a0f2f06a2cae,2023-09-22,23,47,-473.79
38053421-b15a-4f06-bfd3-3cc80dab58f4,a18d10f8-a37b-4ace-ad68-4afcbd36fd97,2023-11-27,0,117,18.91
a375366c-4b5b-4c43-a14f-cd08876c2f04,e7631901-8fb7-4334-8b3e-a7066276b6df,2024-03-09,24,212,81.48
ed7f03a0-206e-486a-8abe-236ba0d66699,4477ad14-01a8-4d4f-aa3d-c5655c910cac,2024-09-19,27,155,-465.15
7bc402db-172f-42b4-9651-bcfe785238a7,31d3d0ce-98b0-42a6-b18f-53a28969a448,2023-10-02,35,263,15.37
